"date","price"
"2019-09-03","12000.00"
"2019-09-04","12000.00"
"2019-09-05","12000.00"
"2019-09-06","12000.00"
"2019-09-07","11700.00"
"2019-09-08","12000.00"
"2019-09-09","12000.00"
"2019-09-10","12000.00"
"2019-09-11","12000.00"
"2019-09-12","12000.00"
"2019-09-13","12000.00"
"2019-09-14","10500.00"
"2019-09-15","10500.00"
"2019-09-17","10500.00"
"2019-09-18","10500.00"
"2019-09-19","10500.00"
"2019-09-20","10500.00"
"2019-09-21","10500.00"
"2019-09-22","10500.00"
"2019-09-23","10500.00"
"2019-09-24","11000.00"
"2019-09-25","11000.00"
"2019-09-26","11000.00"
"2019-09-27","11000.00"
"2019-09-28","11000.00"
"2019-09-29","11000.00"
"2019-09-30","11000.00"
"2019-10-01","11000.00"
"2019-10-02","11000.00"
"2019-10-03","11000.00"
"2019-10-04","11000.00"
"2019-10-07","13000.00"
"2019-10-08","15000.00"
"2019-10-09","15000.00"
"2019-10-10","16000.00"
"2019-10-11","18000.00"
"2019-10-12","18000.00"
"2019-10-13","18000.00"
"2019-10-14","18000.00"
"2019-10-15","18000.00"
"2019-10-16","17000.00"
"2019-10-17","17000.00"
"2019-10-18","18000.00"
"2019-10-19","18000.00"
"2019-10-20","18000.00"
"2019-10-21","18000.00"
"2019-10-22","16000.00"
"2019-10-23","16000.00"
"2019-10-24","16000.00"
"2019-10-25","16000.00"
"2019-10-26","16000.00"
"2019-10-27","16000.00"
"2019-10-28","16000.00"
"2019-10-29","16000.00"
"2019-10-30","16000.00"
"2019-10-31","16000.00"
"2019-11-01","19000.00"
"2019-11-04","18000.00"
"2019-11-05","18000.00"
"2019-11-06","18000.00"
"2019-11-07","18000.00"
"2019-11-08","18000.00"
"2019-11-10","18000.00"
"2019-11-11","19000.00"
"2019-11-12","20000.00"
"2019-11-13","20000.00"
"2019-11-14","20000.00"
"2019-11-15","20000.00"
"2019-11-16","20000.00"
"2019-11-17","20000.00"
"2019-11-18","20000.00"
"2019-11-19","20000.00"
"2019-11-20","19000.00"
"2019-11-21","19000.00"
"2019-11-22","19000.00"
"2019-11-23","18000.00"
"2019-11-25","19000.00"
"2019-11-26","19000.00"
"2019-11-29","19000.00"
"2019-11-30","19000.00"
"2019-12-01","19000.00"
"2019-12-02","19000.00"
"2019-12-03","20000.00"
"2019-12-04","20000.00"
"2019-12-05","20000.00"
"2019-12-06","20000.00"
"2019-12-07","20000.00"
"2019-12-08","20000.00"
"2019-12-09","20000.00"
"2019-12-10","20000.00"
"2019-12-12","22000.00"
"2019-12-14","22000.00"
"2019-12-15","22000.00"
"2019-12-16","22000.00"
"2019-12-17","22000.00"
"2019-12-18","24000.00"
"2019-12-19","26000.00"
"2019-12-20","29000.00"
"2019-12-21","29000.00"
"2019-12-22","29000.00"
"2019-12-23","30000.00"
"2019-12-27","30000.00"
"2019-12-28","24000.00"
"2019-12-29","22000.00"
"2019-12-30","22000.00"
"2019-12-31","20000.00"
"2020-01-01","20000.00"
"2020-01-02","20000.00"
"2020-01-04","20000.00"
"2020-01-05","20000.00"
"2020-01-06","20000.00"
"2020-01-07","20000.00"
"2020-01-08","20000.00"
"2020-01-09","20000.00"
"2020-01-13","20000.00"
"2020-01-15","20000.00"
"2020-01-16","20000.00"
"2020-01-21","19000.00"
"2020-01-22","19000.00"
"2020-01-23","19000.00"
"2020-01-24","19000.00"
"2020-01-25","19000.00"
"2020-01-26","19000.00"
"2020-01-27","19000.00"
"2020-01-28","19000.00"
"2020-01-29","19000.00"
"2020-01-30","20000.00"
"2020-01-31","20000.00"
"2020-02-01","20000.00"
"2020-02-03","20000.00"
"2020-02-04","20000.00"
"2020-02-05","20000.00"
"2020-02-06","20000.00"
"2020-02-07","20000.00"
"2020-02-08","20000.00"
"2020-02-09","20000.00"
"2020-02-10","20000.00"
"2020-02-11","20000.00"
"2020-02-17","20000.00"
"2020-02-18","18000.00"
"2020-02-19","17000.00"
"2020-02-20","17000.00"
"2020-02-21","17000.00"
"2020-02-21","17000.00"
"2020-02-22","17000.00"
"2020-02-22","17000.00"
"2020-02-26","17000.00"
"2020-02-26","17000.00"
"2020-02-27","17000.00"
"2020-02-27","17000.00"
"2020-02-28","17000.00"
"2020-02-28","17000.00"
"2020-02-29","18000.00"
"2020-02-29","18000.00"
"2020-03-02","20000.00"
"2020-03-02","19000.00"
"2020-03-03","20000.00"
"2020-03-03","20000.00"
"2020-03-04","19000.00"
"2020-03-04","20000.00"
"2020-03-05","19000.00"
"2020-03-05","19000.00"
"2020-03-06","19000.00"
"2020-03-06","19000.00"
"2020-03-09","22000.00"
"2020-03-10","22000.00"
"2020-03-10","22000.00"
"2020-03-11","21000.00"
"2020-03-11","21000.00"
"2020-03-12","21000.00"
"2020-03-12","21000.00"
"2020-03-13","21000.00"
"2020-03-13","22000.00"
"2020-03-14","21000.00"
"2020-03-15","21000.00"
